name,description,general_location,website
Fire & Ice,Interactive Grill & Bar,Boston MA,https://fire-ice.com
FuGaKyu,Japanese Cuisine,Boston MA,https://www.fugakyu.net
Da Vinci (Basile),Fine Italian,Boston MA,https://basileboston.com
King's Seaport,Award-Winning Scratch Kitchen & Entertainment,Boston MA,https://www.kings-de.com/seaport
Orleans,Contemporary Restaurant & Sports Bar,Somerville MA,http://orleansrestaurant.com/
Shun's Kitchen,Asian Cuisine,Boston MA,http://www.shunskitchen.com/#steps
British Beer Company,American Favorites & British Classics!,Manchester NH,https://www.britishbeer.com/
Dos Lobos,New American Taqueria & Tequila Bar,North Reading MA,https://www.dos-lobos.com/
Joe Fish,New England Seafood,North Andover MA,https://www.joefish.net/
Maya Indian Bar & Grill,Regional Indian Cuisine,Wakefield MA,http://www.mayaindiangrill.com/
Valentino's,Pizzaeria Bakery & Cafe,Hudson NH,https://www.valentinosdining.com/
The Fix,Burger Bar,Worcester MA,https://www.thefixburgerbar.com/
The Citizen,Wine + Chocolate + Cheese,Worcester MA,https://www.thecitizenwinebar.com/
Bocado,Tapas & Wine Bar,Wellesley MA,https://www.bocadotapasbar.com/
Sky,Create American Food & Award Winning Wine,Norwood MA,http://skynorwood.restaurant/
The Brook,Kitchen & Tap,Holbrook MA,http://brookkitchenandtap.com/
Stockholders Steakhouse,Steakhouse,South Weymouth MA,https://www.stockholderssteakhouse.com/
42 Degrees North,New England Seafood,Manomet MA,https://www.42degreesnorthrestaurant.com/
Mooo....,Modern Steakhouse,Boston MA,http://www.mooorestaurant.com/
Tuscan Kitchen,Regional Italian Cuisine,Burlington MA,https://www.tuscanbrands.com/
Surf,Fresh Seafood,Nashua NH,https://www.surfseafood.com/
Buckeley's Great Steaks,Fine Steakhouse,Merrimack NH,https://www.buckleysgreatsteaks.com/
